Layer,Head 0,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11
0,0.51,0.48,0.50,0.48,0.49,0.49,0.52,0.49,0.52,0.45,0.50,0.52
1,0.45,0.45,0.45,0.39,0.40,0.42,0.44,0.40,0.42,0.43,0.41,0.50
2,0.43,0.47,0.48,0.48,0.47,0.48,0.44,0.47,0.44,0.47,0.42,0.44
3,0.47,0.51,0.49,0.47,0.43,0.43,0.48,0.49,0.46,0.47,0.46,0.47
4,0.47,0.49,0.49,0.50,0.45,0.49,0.45,0.48,0.48,0.48,0.46,0.47
5,0.46,0.47,0.49,0.49,0.46,0.46,0.49,0.48,0.46,0.46,0.49,0.45
6,0.49,0.48,0.45,0.47,0.51,0.48,0.47,0.46,0.50,0.48,0.48,0.49
7,0.47,0.48,0.48,0.47,0.48,0.49,0.46,0.48,0.49,0.48,0.47,0.47
8,0.48,0.48,0.47,0.48,0.49,0.49,0.49,0.49,0.50,0.46,0.48,0.49
9,0.48,0.48,0.49,0.51,0.48,0.48,0.48,0.48,0.51,0.48,0.48,0.48
10,0.49,0.48,0.48,0.50,0.49,0.48,0.49,0.48,0.47,0.50,0.48,0.50
11,0.51,0.49,0.48,0.49,0.49,0.49,0.49,0.47,0.51,0.49,0.48,0.48
