Layer,Head 0,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11
0,0.44,0.48,0.40,0.48,0.48,0.48,0.40,0.45,0.40,0.40,0.34,0.40
1,0.43,0.44,0.33,0.41,0.32,0.39,0.41,0.33,0.31,0.42,0.33,0.44
2,0.44,0.47,0.49,0.49,0.47,0.47,0.41,0.48,0.46,0.49,0.34,0.44
3,0.47,0.47,0.48,0.49,0.45,0.46,0.49,0.48,0.49,0.47,0.46,0.48
4,0.49,0.49,0.47,0.50,0.46,0.48,0.46,0.48,0.48,0.48,0.44,0.49
5,0.49,0.50,0.49,0.48,0.48,0.49,0.49,0.49,0.48,0.47,0.49,0.46
6,0.49,0.49,0.46,0.48,0.48,0.47,0.46,0.47,0.49,0.49,0.47,0.48
7,0.49,0.48,0.49,0.47,0.49,0.48,0.47,0.48,0.49,0.49,0.49,0.49
8,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.48,0.47,0.45,0.49
9,0.48,0.49,0.49,0.49,0.49,0.45,0.48,0.47,0.49,0.48,0.48,0.48
10,0.49,0.49,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.49
11,0.48,0.48,0.47,0.50,0.49,0.48,0.49,0.48,0.50,0.48,0.49,0.49
